Sports_360P-02c3, mpc, 0.9, 118875, 0.12657, 0 
Sports_360P-0c66, mpc, 0.9, 156918, 0.18585, 66.5109 
Sports_360P-0dda, mpc, 0.9, 169252, 0.22398, 19.578 
Sports_360P-11b7, mpc, 0.9, 59013, 0.082185, 85.695 
Sports_360P-12ee, mpc, 0.9, 212853, 0.078768, 77.261 
Sports_360P-1803, mpc, 0.9, 1490, 0.081841, 6368.67 
Sports_360P-1a23, mpc, 0.9, 110919, 0.11391, 78.1347 
Sports_360P-1d5c, mpc, 0.9, 115828, 0.17863, 69.482 
Sports_360P-2725, mpc, 0.9, 89799, 0.098913, 41.1252 
Sports_360P-27b0, mpc, 0.9, 141569, 0.17902, 1.8353 
Sports_360P-2ace, mpc, 0.9, 150898, 0.096218, 0 
Sports_360P-2e48, mpc, 0.9, 47021, 0.10518, 216.758 
Sports_360P-301d, mpc, 0.9, 181083, 0.16702, 0 
Sports_360P-32d3, mpc, 0.9, 145600, 0.17729, 90.9118 
Sports_360P-35e1, mpc, 0.9, 178679, 0.094575, 0 
Sports_360P-3960, mpc, 0.9, 69860, 0.083376, 0 
Sports_360P-3e68, mpc, 0.9, 55719, 0.067769, 61.24 
Sports_360P-4545, mpc, 0.9, 93606, 0.1086, 109.288 
Sports_360P-46c6, mpc, 0.9, 38145, 0.16145, 43.3583 
Sports_360P-4802, mpc, 0.9, 113931, 0.095206, 18.264 
Sports_360P-4ad7, mpc, 0.9, 112095, 0.10245, 0 
Sports_360P-50fd, mpc, 0.9, 174638, 0.21572, 57.798 
Sports_360P-5252, mpc, 0.9, 107842, 0.10919, 36.32 
Sports_360P-5ded, mpc, 0.9, 141462, 0.2408, 149.66 
Sports_360P-61f6, mpc, 0.9, 172513, 0.22795, 102.504 
Sports_360P-65f3, mpc, 0.9, 80781, 0.18506, 43.9 
Sports_360P-6b4f, mpc, 0.9, 193830, 0.24984, 38.606 
Sports_360P-6c6f, mpc, 0.9, 123015, 0.17376, 27.2967 
Sports_360P-6cfd, mpc, 0.9, 169301, 0.14566, 0 
Sports_360P-6f62, mpc, 0.9, 106375, 0.12122, 39.856 
Sports_360P-7f50, mpc, 0.9, 151155, 0.10994, 59.576 
