Sports_1080P-0063,  integral,  0.9,  1293732 
Sports_1080P-0640,  integral,  0.9,  870151 
Sports_1080P-08e1,  integral,  0.9,  1344615 
Sports_1080P-0d0c,  integral,  0.9,  1448396 
Sports_1080P-15d1,  integral,  0.9,  1224746 
Sports_1080P-19d8,  integral,  0.9,  676365 
Sports_1080P-1ae3,  integral,  0.9,  960462 
Sports_1080P-1bf7,  integral,  0.9,  1090992 
Sports_1080P-1d78,  integral,  0.9,  1037464 
Sports_1080P-241e,  integral,  0.9,  1295409 
Sports_1080P-2524,  integral,  0.9,  916210 
Sports_1080P-28a6,  integral,  0.9,  849705 
Sports_1080P-2a21,  integral,  0.9,  574926 
Sports_1080P-3a3b,  integral,  0.9,  652742 
Sports_1080P-3db7,  integral,  0.9,  640433 
Sports_1080P-3eb0,  integral,  0.9,  511773 
Sports_1080P-43e2,  integral,  0.9,  1033134 
Sports_1080P-46ed,  integral,  0.9,  985139 
Sports_1080P-47e9,  integral,  0.9,  135228 
Sports_1080P-4978,  integral,  0.9,  847293 
Sports_1080P-49c5,  integral,  0.9,  360006 
Sports_1080P-4e05,  integral,  0.9,  1169283 
Sports_1080P-53a0,  integral,  0.9,  1263993 
Sports_1080P-5d25,  integral,  0.9,  1157100 
Sports_1080P-6571,  integral,  0.9,  797759 
Sports_1080P-6710,  integral,  0.9,  816887 
Sports_1080P-679d,  integral,  0.9,  787107 
Sports_1080P-7203,  integral,  0.9,  821524 
Sports_1080P-7584,  integral,  0.9,  848766 
Sports_1080P-76a2,  integral,  0.9,  794303 
Sports_1080P-78fa,  integral,  0.9,  1200009 
Sports_1080P-7b51,  integral,  0.9,  1529304 
Sports_1080P-7dba,  integral,  0.9,  924926 
